Fecha (dd/mm/aa),Momento,Nombre alimento,Calorías (kcal),Carbohidratos (g),Lípidos/grasas (g),Proteína (g),Sodio (mg)
17/02/2018,Desayuno,Barrita de cereal,128,22,4,1,100
17/02/2019,Desayuno,yoghurt,188,32.1,4.3,5.1,72
17/02/2020,Comida,Sopa instantena,442.2,54.3,19.8,11.7,2114
17/02/2020,Snack,donitas,880,104,48,8,960
17/02/2020,Snack,arizona,100,27,0,0,10
17/02/2020,Cena,fideo,178.3,37.95,0.46,5.6,8.3
17/02/2020,Cena,carne,83,0.55,2.99,13.29,354
17/02/2018,Cena,huevo,92,0.7,6.7,7.3,83
17/02/2019,Cena,huevo,92,0.7,6.7,7.3,83
17/02/2020,Cena,huevo,92,0.7,6.7,7.3,83
17/02/2020,Cena,rebanada de jamon,18,4,8,10,1075
18/02/2020,Desayuno,Avena,112.1,19.5,2.1,3.8,1.2
18/02/2020,Desayuno,leche,154,12,8.3,7.8,116
18/02/2020,Desayuno,leche condensada,103,22,1.27,1,60
18/02/2020,Snack,cuernito,193,23,9,5,210
18/02/2020,Cena,sopa,146,28.6,1.6,4.4,1322
18/02/2020,Cena,Avena,112.1,19.5,2.1,3.8,1.2
19/02/2020,Desayuno,leche,154,12,8.3,7.8,116
19/02/2020,Desayuno,avena,112.1,19.5,2.1,3.8,1.2
19/02/2020,Desayuno,leche condensada,103,22,1.27,1,60
19/02/2020,Desayuno,chocolate,36.7,8.14,0.26,0.45,15
19/02/2020,Snack,jugo jumex,132,33,0,0,16
19/02/2020,Comida,fideo,178.3,37.95,0.46,5.6,8.3
19/02/2020,Comida,salsa,53,9,1,2,530
19/02/2020,Comida,carne,83,0.55,2.99,13.29,354
20/02/2020,Desayuno,avena,112.1,19.5,2.1,3.8,1.2
20/02/2020,Desayuno,chocolate,36.7,8.14,0.26,0.45,15
20/02/2020,Desayuno,leche,154,12,8.3,7.8,116
20/02/2020,Comida,fideo,178.3,37.95,0.46,5.6,8.3
20/02/2020,Comida,salsa,53,9,1,2,530
20/02/2020,Comida,jamon,18,4,8,10,1075
21/02/2020,Desayuno,leche,154,12,8.3,7.8,116
21/02/2020,Desayuno,cereal,108,25,0,2,160
21/02/2020,Snack,delicias gamesa,61.44,100.8,19.2,9.6,691.2
21/02/2020,Snack,arizona,100,27,0,0,10
21/02/2020,Comida,huevo,92,0.7,6.7,7.3,83
21/02/2020,Comida,huevo,92,0.7,6.7,7.3,83
21/02/2020,Comida,huevo,92,0.7,6.7,7.3,83
